"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000436441.5|ENSG00000107290.15|OTTHUMG00000020834.5|OTTHUMT00000054775.2|SETX-202|SETX|5730|protein_coding|",24.2154540853944,23.2154316879445,3.01257911098863,7.70616499439445,1.2965497935505e-14,2.61871044722051e-12
"ENST00000854024.1|ENSG00000083444.18|OTTHUMG00000002393.5|-|PLOD1-215|PLOD1|2878|protein_coding|",38.3410366492755,-23.0474983218355,2.99360976004421,-7.69889871066399,1.37243902370899e-14,2.70519306359989e-12
"ENST00000524376.3|ENSG00000255248.11|OTTHUMG00000166035.32|OTTHUMT00000387645.1|MIR100HG-201|MIR100HG|2745|lncRNA|",23.932742811248,-22.3978174202623,2.90912052078275,-7.69917136820298,1.36951403344135e-14,2.70519306359989e-12
"ENST00000923806.1|ENSG00000164111.16|OTTHUMG00000133034.5|-|ANXA5-224|ANXA5|1532|protein_coding|",38.913065003842,-23.0711804979272,2.99900439419709,-7.69294654671686,1.43784595199757e-14,2.78804527772788e-12
"ENST00000873066.1|ENSG00000112697.18|OTTHUMG00000015050.8|-|TMEM30A-210|TMEM30A|4345|protein_coding|",30.5553477543776,-22.7309979092162,2.95514896362867,-7.69199732026519,1.44855653182683e-14,2.78804527772788e-12
"ENST00000286371.8|ENSG00000069849.12|OTTHUMG00000159081.6|OTTHUMT00000353218.2|ATP1B3-201|ATP1B3|1847|protein_coding|",22.6152531668583,23.1244342471734,3.00692715049641,7.69038725908469,1.46690340188417e-14,2.79052786684012e-12
"ENST00000862338.1|ENSG00000143761.18|OTTHUMG00000037595.4|-|ARF1-217|ARF1|1945|protein_coding|",28.583421987771,-22.6418809956271,2.95210107690826,-7.66975127401124,1.72330192769102e-14,3.22380027555818e-12
"ENST00000910712.1|ENSG00000197077.15|OTTHUMG00000150841.9|-|KIAA1671-207|KIAA1671|10870|protein_coding|",21.0150522483222,23.0137038966382,3.00089294942845,7.66895197011988,1.73407349785526e-14,3.22380027555818e-12
"ENST00000925518.1|ENSG00000198952.9|OTTHUMG00000017491.4|-|SMG5-217|SMG5|4559|protein_coding|",33.6631790543203,-22.8696328308791,2.98292808363249,-7.66684016164055,1.76285233599312e-14,3.24047912548848e-12
"ENST00000926365.1|ENSG00000135829.18|OTTHUMG00000035337.6|-|DHX9-216|DHX9|4250|protein_coding|",34.2767048095254,-22.8947572372235,2.98897631965302,-7.65973189104465,1.86321638798028e-14,3.34969451729202e-12
"ENST00000944624.1|ENSG00000059122.18|OTTHUMG00000177364.3|-|FLYWCH1-235|FLYWCH1|3321|protein_coding|",39.5531652146671,23.1902918315419,3.02716232399322,7.66073614478357,1.84870324740217e-14,3.34969451729202e-12
"ENST00000923504.1|ENSG00000092820.20|OTTHUMG00000015917.2|-|EZR-220|EZR|2795|protein_coding|",32.0030408879369,-22.7994280241062,2.98054843073854,-7.64940699804593,2.01908241454401e-14,3.59045525021087e-12
"ENST00000935777.1|ENSG00000167526.16|OTTHUMG00000133770.8|-|RPL13-225|RPL13|683|protein_coding|",31.0459841354568,-22.7565392884668,2.97664287624939,-7.64503510650909,2.08888329165126e-14,3.67463770445318e-12
"ENST00000926642.1|ENSG00000105281.14|OTTHUMG00000183434.3|-|SLC1A5-211|SLC1A5|2747|protein_coding|",37.0183919303047,-22.9968095005137,3.00977826707207,-7.64069890201087,2.16045761037258e-14,3.76011558571228e-12
"ENST00000854255.1|ENSG00000165280.19|OTTHUMG00000019855.5|-|VCP-238|VCP|3161|protein_coding|",31.0869582285369,-22.7580990499405,2.98098568077429,-7.63442078796877,2.26837904807453e-14,3.83138976727414e-12
"ENST00000422826.3|ENSG00000130600.23|OTTHUMG00000012477.7|OTTHUMT00000142900.4|H19-205|H19|2052|lncRNA|",36.1338248020525,-22.9515106463653,3.00639333881087,-7.63423413366244,2.2716675270513e-14,3.83138976727414e-12
"ENST00000588161.5|ENSG00000126254.13|OTTHUMG00000182063.3|OTTHUMT00000459058.2|RBM42-203|RBM42|1609|protein_coding|",19.189842270537,22.9021454096591,2.99901779350926,7.63654869245054,2.23121897668775e-14,3.83138976727414e-12
"ENST00000882058.1|ENSG00000048828.19|OTTHUMG00000020252.4|-|FAM120A-210|FAM120A|4746|protein_coding|",33.954184166349,-22.7783251642696,2.98692417235935,-7.62601386906893,2.42123794488937e-14,4.04198497738674e-12
"ENST00000852017.1|ENSG00000187244.13|OTTHUMG00000180838.6|-|BCAM-213|BCAM|2348|protein_coding|",27.0856574510825,-22.5647614684358,2.96856666079689,-7.60123118218218,2.93326560181503e-14,4.84729547936302e-12
"ENST00000896865.1|ENSG00000100804.20|OTTHUMG00000028713.6|-|PSMB5-208|PSMB5|1066|protein_coding|",27.0231496963453,-22.5612719664926,2.96882210486773,-7.59940177267637,2.97502797732568e-14,4.86714577090482e-12
"ENST00000615790.5|ENSG00000242265.6|OTTHUMG00000155578.5|OTTHUMT00000476334.1|PEG10-208|PEG10|6394|protein_coding|",26.6381212984317,-22.5428166855992,2.96756130075166,-7.59641146415049,3.04455428175397e-14,4.93157505440544e-12
"ENST00000534699.5|ENSG00000009307.18|OTTHUMG00000012060.6|OTTHUMT00000392608.1|CSDE1-217|CSDE1|2667|protein_coding|",27.8031883616633,-22.6019133737793,2.97804604349154,-7.58951105647789,3.21114874373863e-14,5.13829010757699e-12
"ENST00000614867.2|ENSG00000172270.23|OTTHUMG00000177718.19|OTTHUMT00000474399.1|BSG-214|BSG|960|protein_coding|",26.3100864129513,-22.5263706970876,2.96846736850819,-7.58855257634457,3.23498704816889e-14,5.13829010757699e-12
"ENST00000428437.6|ENSG00000039523.21|OTTHUMG00000137536.9|OTTHUMT00000420948.2|RIPOR1-204|RIPOR1|4152|protein_coding|",31.4415788204604,22.7249666524324,2.99536636881909,7.58670688467119,3.28138241555654e-14,5.1618669537024e-12
"ENST00000933608.1|ENSG00000187498.18|OTTHUMG00000017342.11|-|COL4A1-223|COL4A1|6334|protein_coding|",25.8010891206804,-22.4991304390976,2.96746741912429,-7.58193006403323,3.40451793258695e-14,5.30456317877356e-12
"ENST00000946971.1|ENSG00000111057.12|OTTHUMG00000169882.3|-|KRT18-223|KRT18|1355|protein_coding|",26.6896005685611,-22.5453196612392,2.97551000469007,-7.57695979032257,3.53746356429868e-14,5.45970791621947e-12
"ENST00000950051.1|ENSG00000196923.15|OTTHUMG00000130853.11|-|PDLIM7-250|PDLIM7|1680|protein_coding|",25.753030862621,-22.4964970499543,2.97114779193525,-7.57165197605377,3.68507618852741e-14,5.63437817236528e-12
"ENST00000549847.5|ENSG00000089009.17|OTTHUMG00000169685.4|OTTHUMT00000405428.2|RPL6-206|RPL6|588|protein_coding|",25.1649830887013,-22.4621300214455,2.97037326442514,-7.56205635516068,3.96746407944827e-14,6.00997336479386e-12
"ENST00000676453.1|ENSG00000114867.23|OTTHUMG00000156784.21|-|EIF4G1-240|EIF4G1|4590|nonsense_mediated_decay|",33.6737104853789,-22.8665034448024,3.02777903326043,-7.5522365382717,4.27846524168528e-14,6.42162305999735e-12
