"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P11021;V9HWB4",-3.3587131439039,7.74830611071965,-2.4394802636645,0.0308372166886319,0.139393834431323,-3.58190737854493
"A0A3B3ISV3;A0A6G9EL94;A9LSU1;P02462;Q59F15",-1.99244199865134,8.93579613593647,-2.43384502885992,0.0311586218140604,0.139393834431323,-3.59107502525917
"A0A024R971;A0A3B3IRN5;Q06828",-1.64895403535667,13.4915316546341,-2.4032223817857,0.0329624074836885,0.145548292785118,-3.64078296820501
"P19652",2.84278855605293,6.93797377229175,2.39256713729064,0.0352630326160217,0.153710654992915,-3.6448556934285
"A0A024R5Z7;P07355;V9HW65",-1.82113914378943,13.2328522695445,-2.3586470461319,0.0357685646774776,0.1539406581056,-3.71279145236335
"Q9Y4Y5",-4.46424099248259,16.0915477401672,-2.35084347696952,0.0362828336302402,0.154178070662596,-3.72535325877286
"P06702",-4.90760067080255,5.49082303958866,-2.39483079472267,0.0371142630589106,0.154178070662596,-3.62067699062931
"A0A087WYR3;A0A087WZ51;O43399;O43399-2;O43399-3;O43399-4;O43399-5;O43399-6;O43399-7;Q53GA0;Q5J908;Q68E05;Q6FGS1",-2.63688334048664,11.4038764395604,-2.33741928388224,0.0371841229245084,0.154178070662596,-3.74693089633803
"P00558;V9HWF4",-1.84411686998926,9.77879463575963,-2.32419721641586,0.0380927571378519,0.156042619600839,-3.76814341385479
"A0A286YEY4;P01859",2.10864660253875,15.961001386914,2.30659228830589,0.0393355642338113,0.159037005818835,-3.79632411733085
"S6BGE0",2.52076690295356,11.9044288871841,2.30071175466485,0.0397592514547087,0.159037005818835,-3.80572083597439
"P00352;V9HVX6;V9HW83",-2.03071601631177,9.7077026172375,-2.26001722058713,0.0428126722591245,0.169259401954678,-3.87051567429399
"P51911;Q53FP8;V9HWA5",-1.82270761259585,11.8865254049964,-2.21823594489836,0.0461787333427239,0.180468613063519,-3.93660015249847
"A0A384NY64;P24844;Q6IBG1",-2.32331526499492,10.9091631859401,-2.22856746996788,0.0471614963275967,0.181814384857778,-3.89874771887191
"P11766;Q2VIM7;Q5U043;Q6FI45;Q6IRT1",-1.5380587918812,9.92978371396209,-2.22340361056468,0.0475925889774771,0.181814384857778,-3.90665074239434
"A8K9M5;B7Z550;B7Z555;B7ZA94;F5GY80;F5H7G1;P07358",3.21969005066531,7.55666751225017,2.2131582786349,0.0484590537045587,0.182756364213511,-3.92231252134477
"P51888;Q6FHG6",-1.44583142544626,12.2294037895877,-2.18326769473119,0.0491870106461229,0.182756364213511,-3.99154637661229
"A0A140VJJ2;P10768;X6RA14",-1.66245698617086,9.16121575363266,-2.2016331997321,0.049451722081303,0.182756364213511,-3.93990131273153
