"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"USP47","greenyellow",-0.696006251156218,0.0253843865497135,0.863271552691532,0.00129216170567992,43.2610144564056,11.6547055404648,NA,NA
"GGA2","darkred",0.694950817470795,0.0257021546354988,0.763204741847183,0.0102192701723564,20.5507730937611,2.23344504685027,NA,NA
"STK10","pink",0.694839660368706,0.0257357795213154,0.803314249600069,0.00512515834230417,44.2288667802447,22.7532650996811,NA,NA
"CAPG","cyan",0.694147572881434,0.0259458137186508,0.958143474432655,1.27658040994993e-05,42.6141999793707,17.0189274190693,NA,NA
"RCN2","yellow",-0.693482999818821,0.0261486005290077,0.704444508343107,0.0229401227056873,41.8003407706874,16.0525880382656,NA,NA
"RLIM","purple",-0.692111302579892,0.0265705863496658,0.776278068822462,0.00828315847004505,17.9518265711916,7.31311846422294,NA,NA
"ATP6V1B2","pink",0.690265574135538,0.0271457274549365,0.9188705750177,0.000171700171465766,85.9032818757934,55.5002325402683,NA,NA
"CFAP36","purple",-0.689904379778177,0.0272592658108873,0.753885904519266,0.0117801716756314,22.6835517195055,6.79353382809939,NA,NA
"TPP1","cyan",0.687421953224881,0.0280483955179887,0.937247255710468,6.28671462333829e-05,45.6945406998287,16.0950996662741,NA,NA
"ELP2","lightcyan",-0.685682193009106,0.0286106520663847,0.775536115042828,0.00838545731591028,22.6175355983313,4.61137271186155,NA,NA
"RBM47","pink",0.682919415325337,0.0295192616798448,0.965032269822096,6.27056339270578e-06,117.801967438531,81.8472256040264,NA,NA
"GNPTAB","cyan",0.682519366557627,0.0296524379260908,0.857515824780804,0.00151282091738158,43.3481316240912,11.5481116737798,NA,NA
"ANKIB1","magenta",-0.680283638169485,0.0304042599888636,0.881263278272503,0.000751719688609078,41.9458889631595,12.7235785380948,NA,NA
"ACP2","cyan",0.680128614964008,0.0304568669113395,0.791239195443801,0.00640351642529963,35.1738834500726,8.30457081050408,NA,NA
"CDK19","lightyellow",0.679840283171801,0.0305548767486509,0.726763862295433,0.0172646125088672,42.4786058049602,3.54755506479385,NA,NA
"BCAT1","cyan",0.678542528098571,0.0309986695075032,0.727138774854687,0.0171786243400513,31.6805946820971,6.03326542333582,NA,NA
"GM2A","pink",0.67737968330323,0.0314000360044065,0.946378687926934,3.38926051994224e-05,111.960956798482,67.9436408282755,NA,NA
"LGMN","cyan",0.677039344379197,0.0315181724413828,0.889056582868312,0.000578576692001464,52.1536507255935,12.1449800339766,NA,NA
"ZNF710","pink",0.676178384740626,0.0318183725289308,0.754451336789577,0.0116809846277885,38.7768068369978,21.433351897316,NA,NA
"AP1B1","cyan",0.674256668284737,0.0324954377144704,0.814567486180934,0.00410829300863186,37.6076126180864,8.85675945978183,NA,NA
"CTSD","cyan",0.672021486071918,0.0332951769900259,0.956835667072709,1.44146223357154e-05,49.2259855848095,17.5818201418401,NA,NA
"LIPA","pink",0.670879101557317,0.0337090285586528,0.911392559578994,0.000242056100109009,75.141397728066,52.0948315117719,NA,NA
"EIF2B5","lightcyan",-0.670414920455742,0.033878179545021,0.715910124776446,0.019885522220414,28.1615267894616,4.83863808960071,NA,NA
"TMC6","cyan",0.670185281326003,0.033962074132395,0.932689595792355,8.27539170813645e-05,45.7689258460913,15.2652191573309,NA,NA
"ADAM8","pink",0.669950526029553,0.034047983312408,0.931355621013531,8.93648572785456e-05,95.8727870774146,67.9343680091737,NA,NA
"CEP83","greenyellow",-0.666901255334167,0.0351772869033644,0.821875180999966,0.00353096580256649,27.4075385182908,7.06324741666348,NA,NA
"GRN","cyan",0.66528880101795,0.0357845886840367,0.922567436978496,0.000143131683811926,45.7122752809368,14.5960503052676,NA,NA
"TBC1D22A","pink",0.664520690045541,0.0360763618084247,0.86018582953367,0.00140731934110151,58.9512555199607,28.9507478666699,NA,NA
"CTSZ","pink",0.662308915886709,0.0369254984802962,0.925411951827293,0.000123663915254164,82.3757851377456,53.6980119380929,NA,NA
"SMAP2","cyan",0.659673025285385,0.0379549689019649,0.766007172884097,0.00977990854354756,23.7925427961128,6.80139664910977,NA,NA
"CYBC1","cyan",0.659601902841277,0.0379830115924372,0.770051716509062,0.00916952160049664,16.5735620094038,4.74582430548174,NA,NA
"TFRC","cyan",0.658370931508003,0.0384705851299115,0.855615831299109,0.00159130902736731,37.683953048272,9.98619732218165,NA,NA
"REX1BD","cyan",0.658172335841562,0.0385496398765702,0.884626419515639,0.000672933369948178,36.8356679594483,10.3695416340593,NA,NA
"KLHDC8B","brown",0.658040647028717,0.0386021214412918,0.81647619424615,0.00395142474964104,139.02063821183,113.931917755113,NA,NA
"TMSB4X","cyan",0.657531662977399,0.0388054182635139,0.835029418563609,0.00264200341208452,37.3831698939131,8.17451280002014,NA,NA
"CSNK1G3","magenta",-0.655964194461652,0.0394360221611172,0.806952510049455,0.00477873421871727,38.5228249438801,10.2766942087804,NA,NA
"CPVL","pink",0.655295206509745,0.0397072493488022,0.873753629959199,0.000951688158715521,63.1398100363812,40.7712694472716,NA,NA
"GNPDA2","magenta",-0.654463119777952,0.0400463505498966,0.924849444091252,0.000127348376523012,51.2723373905569,16.280724935051,NA,NA
"MIB1","magenta",-0.652476437051138,0.0408638551258618,0.81042772140035,0.00446377170712267,38.7325749107465,9.98535487155544,NA,NA
"FAM118A","greenyellow",-0.652087479766586,0.0410252107785339,0.863323131950021,0.00129029704189788,88.3402618179209,12.5433204361131,NA,NA
"NAGK","pink",0.650749365076413,0.0415835867572023,0.963772340502226,7.21327709252168e-06,120.192133170423,74.9343238402304,NA,NA
"ZNF444","lightyellow",0.648727361898905,0.0424369900432647,0.739855585722279,0.0144349021943929,21.6284611960401,3.0355043229466,NA,NA
"FUCA1","pink",0.648659577351033,0.0424658009673957,0.850678181290497,0.00180905028012848,55.4897199256389,28.29432826755,NA,NA
"ITGA4","lightyellow",0.648632320698483,0.0424773897462362,0.905274314934323,0.000313767037986453,46.1588373286569,10.6536140952666,NA,NA
