"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"MZT2A","turquoise",-0.143774428572106,0.691914394618758,0.916427046549329,0.000192755681244642,534.34877518679,469.249555150634,NA,NA
"EMC3","blue",0.143662965221058,0.692143421891898,-0.751621245754208,0.0121833608994012,138.637124261762,24.8497940758152,NA,NA
"NES","green",-0.143633955900216,0.692203031946612,0.853577988939418,0.00167872777704985,61.1949914764281,28.4250344511986,NA,NA
"POLR2A","turquoise",0.143580175629016,0.692313546828937,0.930893748448108,9.17422248791989e-05,704.81349469222,491.85037046001,NA,NA
"IRF7","turquoise",-0.143562623221811,0.692349616990659,0.719925809909696,0.018885860617404,155.914871296814,118.213780933563,NA,NA
"ILKAP","blue",-0.143539078261884,0.692398002710682,0.642078500212462,0.045325892311769,76.5398449505457,27.7644808533146,NA,NA
"PEX10","brown",0.143502206078847,0.692473778355328,0.922577108909682,0.000143061892909088,602.83547743296,315.492194846289,NA,NA
"CENPF","turquoise",0.143439859743618,0.692601911256221,0.904577003358611,0.000322828619086237,533.805154958849,427.670467981822,NA,NA
"CD99","black",0.143435740361017,0.692610377573555,-0.752007076684613,0.0121139959060847,24.7362771946581,6.90233841165223,NA,NA
"ERVK13-1","blue",0.143416913208396,0.692649072269085,0.923313955545135,0.000137818307560769,402.430662456626,249.877635191069,NA,NA
"CAPNS1","blue",0.14341663278417,0.692649648618644,-0.914372202398067,0.000211884039761901,493.876912029212,63.638225410142,NA,NA
"ZFP42","blue",-0.14341550485227,0.692651966832963,0.913366798353836,0.000221735698969305,402.418007856861,268.863261226923,NA,NA
"COBLL1","blue",-0.143358318653639,0.692769503414838,0.870370608758571,0.00105337662703756,277.315380909944,192.517206019207,NA,NA
"IRAK4","blue",0.143355005519069,0.692776313184823,0.891558993283999,0.000529770108265974,343.843803300033,231.725081686223,NA,NA
"TMEM8B","turquoise",-0.143352235527073,0.692782006602443,-0.792477645088314,0.00626297104159733,195.92123948275,71.4285321440925,NA,NA
"MCM9","darkgrey",0.143345795949447,0.692795242508186,0.796912546832111,0.00577764231261125,16.3940911786724,3.2391516405151,NA,NA
"MBOAT2","turquoise",-0.143340432720149,0.692806266145056,0.846882811304769,0.00199049056689862,436.270268383284,272.655477039042,NA,NA
"RNPEP","turquoise",0.143327006993275,0.692833861750314,0.953205167116501,1.98230750469634e-05,770.18009712974,593.194887631213,NA,NA
"HSP90B1","turquoise",-0.143305003940815,0.692879088127963,0.952728159795418,2.06317711117045e-05,734.351722118309,597.261190252075,NA,NA
"CUEDC1","grey",0.143296527147028,0.69289651206525,-0.129061251370933,0.722334275507636,21.4053334339817,1.80420754453367,NA,NA
"POLR3A","grey",0.143261194187959,0.692969139890757,0.645265934225603,0.0439250559384036,14.7057084956316,1.40058504669939,NA,NA
"APP","blue",-0.143255024372232,0.692981822340029,-0.702775960899344,0.0234100045894059,295.456329867717,18.9319217518393,NA,NA
